bug.id,ground_truth_summary
137,Codepoint U+007f appears raw in output
138,"Obvious optimizations don't works in ""inline if"""
139,closure compiled swfobject error
140,Assignments within conditions are sometimes incorrectly removed
141,\0 \x00 and \u0000 are translated to null character
142,division by zero wrongly throws JSC_DIVIDE_BY_0_ERROR
143,RuntimeException when compiling with extern prototype
144,Unexpected expression nodeDELPROP 1
145,An unnamed function statement statements should generate a parse error
146,.indexOf fails to produce missing property warning
147,Cannot see version with --version
148,Invalid left-hand side of assignment not detected
149,Reproduceable crash with switch statement
150,side-effects analysis incorrectly removing function calls with side effects
151,IE8 error: Object doesn\u0027t support this action
152,Incorrect assignment removal from expression in simple mode.
153,Compiler removes function properties that it should not
154,@this emits warning when used with a typedef
155,support @lends annotation
156,bug with implicit namespaces across modules
157,closure-compiler @define annotation does not allow line to be split on 80 characters.
158,Use @public tag to prevent compression of symbol names
159,Missing type-checks for var_args notation
160,Unsigned Shift Right (>>>) bug operating on negative numbers
161,bad variable inlining in closure
162,Prototypes declared with quotes produce a JSC_USED_GLOBAL_THIS warning.
163,"Only assignment to ""this"" issues a ""dangerous use of the global this object"" warning."
164,--process_closure_primitives can't be set to false
165,compiler assumes that 'arguments' can be shadowed
166,Compiler gives false error with respect to unreachable code
167,Typos in externs/html5.js
168,Array Join Munged Incorrectly
169,Exception thrown from com.google.javascript.jscomp.CollapseProperties.addStubsForUndeclaredProperties
170,Variable names prefixed with MSG_ cause error with advanced optimizations
171,precondition crash: goog.scope local with aliased in the type declaration
172,Constructor types that return all or unknown fail to parse
173,Allow @private top-level functions in goog.scope
174,goog.isArray doesn't hint compiler
175,Template types on methods incorrectly trigger inference of a template on the class if that template type is unknown
176,Bug in require calls processing
177,Crash on the web closure compiler
178,Erroneous optimization in ADVANCED_OPTIMIZATIONS mode
179,Erroneous optimization in ADVANCED_OPTIMIZATIONS mode
180,Wrong type name reported on missing property error.
181,Prototype method incorrectly removed
182,catch(e) yields JSC_UNDEFINED_NAME warning when e is used in catch in advanced mode
183,Overzealous optimization confuses variables
184,Overzealous optimization confuses variables
185,Inconsistent handling of non-JSDoc comments
186,Generates code with invalid for/in left-hand assignment
187,Different output from RestAPI and command line jar
188,IllegalStateException at com.google.javascript.rhino.jstype.FunctionType.getInstanceType
189,Break in finally block isn't optimized properly
190,Break in finally block isn't optimized properly
191,"The compiler quotes the ""0"" keys in object literals"
192,Casting a function before calling it produces bad code and breaks plugin code
193,arguments is moved to another scope
194,unicode characters in property names result in invalid output
195,if statement
196,Exception when parsing erroneous jsdoc: /**@return {@code foo} bar   *    baz. */
197,@inheritDoc doesn't play well with interfaces
198,Inheritance not detected when prototype directly assigned
